---
# FILENAME: New Recording 14.txt
---
# Transcript for New Recording 14.m4a
# Language: ru, prob=1.00

[   0.00 -    2.32] Сказывал, да, получается, такие вещи.
[   3.56 -    7.72] То есть вроде бы 4 дня мало, 5 дней, окей.
[   7.72 -   10.76] Но все время зарегулированные 5 дней.
[  11.76 -   12.92] Тоже не окей.
[  13.40 -   15.96] То есть надо отдавать какой-то...
[  16.76 -   17.92] Какие-то дырки.
[  18.76 -   20.44] Но как-то так мы с ней решили.
[  21.84 -   23.12] Это первое.
[  23.12 -   23.96] Второе.
[  25.16 -   26.56] Мы поднимаем цены.
[  27.28 -   28.28] И посмотрим.
[  29.24 -   30.96] Что из этого получится.
[  31.72 -   33.84] И мы решили поднять цену.
[  36.00 -   37.80] Включая поездку.
[  37.80 -   39.80] Туда будет входить поездка.
[  39.80 -   40.96] Колбавра Алто.
[  42.12 -   43.64] 1550.
[  48.00 -   48.84] Посмотрим.
[  48.84 -   51.64] Потому что сейчас, все, кто едет,
[  51.64 -   56.08] они уже, либо люди, как мы с тобой говорили, состоятельные.
[  56.08 -   57.84] Либо что-то еще, но еще посмотрим.
[  58.84 -   60.04] Нет так нет.
[  62.60 -   63.72] Третий момент.
[  63.72 -   68.72] У нас примерно сложилось, очень кратко, конечно, бесподробностей.
[  71.64 -   73.96] Как мы будем ходить.
[  77.64 -   80.00] Тема остается, как я тебе говорила, да?
[  80.84 -   81.84] Ардыко.
[  81.84 -   96.87] Конечно, написала мне.
[  96.87 -   98.87] Первый день 15 октября.
[  98.87 -   99.87] Правой берег.
[ 101.70 -  103.22] Дынье Легор.
[5217.90 - 5219.90] download. Individuals
[5219.90 - 5224.01] download.
[5224.01 - 5238.20] А если вниз прокрутить?
[5238.20 - 5240.20] Сейчас соберем, забыру.
[5240.20 - 5242.20] Но Google Drive для Windows это
[5242.20 - 5244.20] обязательно должно быть, как продолжение
[5244.20 - 5246.20] вопросов не должно быть.
[5246.20 - 5253.48] А чего здесь не так?
[5253.48 - 5255.48] Это неудобно, я хочу, чтобы
[5255.48 - 5257.48] у тебя было бы идеально, если не
[5257.48 - 5259.48] бы идеально, как должно быть,
[5259.48 - 5261.48] чтобы было доступно тебе диск
[5261.48 - 5263.48] в Finder.
[5263.48 - 5268.30] Но у меня здесь тоже довольно
[5268.30 - 5270.30] просто будет.
[5270.30 - 5272.30] Да, да, да.
[5272.30 - 5274.30] Попробую про то, что это будет множество,
[5274.30 - 5276.30] нужно все время быть этим работать.
[5276.30 - 5278.30] Когда все время, как мы уже обсуждали,
[5278.30 - 5284.97] надо делать все правильно.
[5284.97 - 5286.97] Я знаю, как переключить по-русски,
[5286.97 - 5288.97] поэтому я спрашиваю по-английски.
[5288.97 - 5290.97] How to integrate Google Drive
[5290.97 - 5292.97] into Windows.
[5292.97 - 5302.36] Да, я понял, что мне нужно
[5302.36 - 5304.36] drive for desktop, так-то я его
[5304.36 - 5321.14] могу достать.
[5321.14 - 5323.14] Неужели?
[5323.14 - 5325.14] Спасибо. Так,
[5325.14 - 5327.14] скачать куда?
[5327.14 - 5329.14] Ой, Extreme Browser, Download. Можно как-то
[5329.14 - 5331.14] попроще?
[5331.14 - 5333.14] Что такое desktop?
[5333.14 - 5335.14] Desktop, оторвач, desktop,
[5335.14 - 5337.14] это вверх. Вверх стола.
[5337.14 - 5340.94] Почему именно рабочего?
[5340.94 - 5342.94] Потому что обычно это 100-то тейбл.
[5342.94 - 5346.86] Это я знаю.
[5346.86 - 5348.86] Я понимаю. В смысле, неприятного, хорошо.
[5348.86 - 5350.86] Так, и че, почему надо
[5350.86 - 5352.86] скачать?
[5352.86 - 5354.86] Ну, наверное, надо время подождать,
[5354.86 - 5359.61] пометить, не жестить.
[5359.61 - 5361.61] Садись сюда, здесь удобнее может быть.
[5361.61 - 5424.82] Не станет.
[5424.82 - 5426.82] Да, мы упёрлись в операционность темы.
[5426.82 - 5428.82] То есть, нет?
[5428.82 - 5430.82] Нет, старое операционность тем мешает, поэтому
[5430.82 - 5432.82] я не особен себе с браузер, это неудобно, я считаю.
[5432.82 - 5434.82] Ну, пока пусть будет.
[5434.82 - 5436.82] Ну, это недавно, вот это сам.
[5436.82 - 5438.82] Где, где он?
[5438.82 - 5440.82] Мне значит, надо разобраться вообще с папками с кем-нибудь.
[5440.82 - 5442.82] Мой диск.
[5442.82 - 5444.82] Значит, должна быть папка,
[5444.82 - 5448.36] сейчас.
[5448.36 - 5450.36] Вот, я вижу. Вот они папки.
[5450.36 - 5452.36] Да, я вижу.
[5452.36 - 5461.98] Макс, который,
[5461.98 - 5463.98] декорирование Dbk.
[5463.98 - 5465.98] Ещё нет.
[5465.98 - 5467.98] Мне кажется,
[5467.98 - 5469.98] какая-то не винтаж, всё папка вообще.
[5469.98 - 5471.98] Громные.
[5471.98 - 5473.98] Ты же слышал, я сказал, что надо попробовать винтажа.
[5473.98 - 5478.47] Сейчас я позвоню.
[5478.47 - 5480.47] Спроси, скажи, прям всё, что ли?


---
# FILENAME: New Recording 15.txt
---
# Transcript for New Recording 15.m4a
# Language: ru, prob=1.00

[   0.00 -    4.12] Джей всегда идет еще событие.
[   4.12 -   11.24] В сентябре это дизайн век, а в январе это деко-ов.
[  11.24 -   16.10] Огромное количество галерей, которые занимаются именно
[  16.10 -   17.60] интерьерной темой.
[  17.60 -   22.80] Это текстиль, мебель, еще не галерей художественных,
[  22.80 -   24.60] хотя тут тоже они входят.
[  24.60 -   30.10] Они делают специальные выставочные пространства,
[  30.10 -   32.68] показывают все самое лучшее.
[  32.68 -   35.72] То есть создают специальные инсталляции, специальные
[  35.72 -   38.16] интерьеры для деко-ов.
[  38.16 -   41.80] И мы ходим по этим галереям и их рассматриваем, рассматриваем,
[  41.80 -   43.60] рассматриваем точно так же.
[  43.60 -   47.87] Это богатая тема.
[  47.87 -   48.87] А что там будет?
[  48.87 -   49.87] Что там будет?
[  49.87 -   51.15] Это будет все.
[  51.15 -   55.15] Там будет текстиль, мебель, искусство, винтаж.
[  55.15 -   56.15] Освещение.
[  56.15 -   62.39] Ну вообще все, что наполняет интерьер в разных таких
[  62.39 -   64.83] небольших площадках и очень крутых.
[  64.83 -   67.15] Что такое поле Токио?
[  67.15 -   72.83] Поле Де Токио это мой любимый один из любимых музеев.
[  72.83 -   76.01] Музеев.
[  76.01 -   78.61] Я объясню почему именно здесь.
[  78.61 -   85.36] Сейчас мне пораз-то максимум отвечу.


---
# FILENAME: New Recording 16.txt
---
# Transcript for New Recording 16.m4a
# Language: ru, prob=1.00

[   0.11 -    5.79] по дороге выставки, которая была названа стиль Ардеко.
[   5.79 -    8.71] Выставки 1925 года.
[   8.71 -   11.71] Мы прямо пройдемся физически.
[  11.71 -   14.11] Да, вот по этому маршруту.
[  14.11 -   18.11] И поговорим о том, где какие ключевые стенды,
[  18.11 -   20.31] или вернее, павильоны стояли.
[  20.31 -   23.71] Вот этот павильон остался, этот павильон из выставки,
[  23.71 -   26.71] ну только из выставки более позднего периода, 37-го,
[  26.71 -   28.51] уже когда Ардеко было.
[  28.51 -   32.51] А 25-го года никаких павильонов не осталось,
[  32.51 -   34.51] но я буду показывать и рассказывать,
[  34.51 -   36.51] что там было знакового и важного.
[  36.51 -   38.51] Будем прямо проходить по этой дороге
[  38.51 -   42.51] и дойдем до вот этой точки, когда 37-го года уже стали павильоны
[  42.51 -   45.51] в совсем Ардеко делаться.
[  45.51 -   49.51] Я буду рассказывать эту знаковую историю,
[  49.51 -   52.51] одну из самых знаковых выставок
[  52.51 -   55.51] в экзабишном дизайне 20-го века,
[  55.51 -   57.51] который повлиял у нас всем.
[  59.82 -   61.82] Маршрут...
[  61.82 -   63.82] Это 17-е число.
[  63.82 -   66.82] Да, это маршрут с лекцией.
[  66.82 -   68.82] Это 17-е число.
[  68.82 -   72.82] Мы попробуем понять, пройти прямо, поэтому маршрут,
[  72.82 -   75.82] где, что было поставлено.
[  75.82 -   80.82] Что такое аалто?
[  80.82 -   82.82] Аалараалто.
[  82.82 -   84.82] Вернее, что вы там хотите, мне интересует.
[  84.82 -   88.82] Мы, во-первых, прожить его архитектуру телом,
[  88.82 -   90.82] потому что это того стоит.
[  90.82 -   94.82] Аалараалто, один из самых...
[  94.82 -   96.82] А на мой взгляд,
[  96.82 -  102.71] я очень люблю лекробюзье,
[ 102.71 -  105.71] но если сравнить аалараалто с лекробюзье,
[ 105.71 -  109.71] это тот человек, который в модернизм принес тепло,
[ 109.71 -  111.71] тепло дерево,
[ 111.71 -  115.71] и потрясающую работу с объемом и со светом.
[ 115.71 -  118.71] Сейчас я тебе покажу, куда мы пойдем.
[ 118.71 -  120.71] А это...
[ 120.71 -  127.96] Ты его точно знаешь,
[ 127.96 -  130.96] потому что отклики аалто в икей,
[ 130.96 -  133.96] кресло и так далее, и так далее.
[ 133.96 -  136.96] Икей на него только смотрела.
[ 136.96 -  140.96] Аалто, вилла, коре.
[ 140.96 -  169.59] Вот лучшие фотографии.
[ 169.59 -  171.59] Вот его светильники, которые мы придумали,
[ 171.59 -  173.59] совершенно потрясающим освещением.
[ 173.59 -  175.59] Направленный свет на пол,
[ 175.59 -  177.59] направленный свет на...
[ 177.59 -  179.59] Нет еще в то время,
[ 179.59 -  182.59] в 20-е годы каких-то димеров,
[ 182.59 -  184.59] направленный свет на стены,
[ 184.59 -  187.59] где размещается произведение искусства.
[ 187.59 -  190.59] Совершенно сумасшедшие внутренние потолки,
[ 190.59 -  195.59] тоже там для объема и для звука,
[ 195.59 -  198.59] и для всего вот у него потолки с этой ламперией,
[ 198.59 -  201.59] как по вот этих вот его светильники.
[ 201.59 -  203.59] Направление вверх, направление вниз
[ 203.59 -  205.59] дает объем света.
[ 205.59 -  207.59] Все, что ты говоришь, это же, может быть,
[ 207.59 -  209.59] это же интересно, не только дизайн интерьер,
[ 209.59 -  211.59] но мебельщику тоже.
[ 211.59 -  212.59] Конечно, да.
[ 212.59 -  214.59] То есть все-таки, а то, что дает,
[ 214.59 -  216.59] вот эти вот объемы,
[ 216.59 -  218.59] он в том числе занимался акустикой
[ 218.59 -  219.59] внутри дома.
[ 219.59 -  222.59] Он считал, что акустика, это тоже очень важная интерьерная компанияция.
[ 222.59 -  224.59] Я вообще не задумывался про это.
[ 224.59 -  226.59] Я не думал про это вообще.
[ 226.59 -  229.59] Ну вот, видишь, вот эти вот плавные,
[ 229.59 -  232.59] и в том числе, смотрю, это 20-е годы,
[ 232.59 -  235.59] а потом, сколько сейчас мы будем плавные хреньи видеть,
[ 235.59 -  238.59] там, у захиха дип, потом,
[ 238.59 -  241.59] заходить позже намного, и так далее.
[ 241.59 -  246.59] То есть он такой, один из родоначальников,
[ 246.59 -  249.59] вот идея такого...
[ 249.59 -  251.59] бионического мышления,
[ 251.59 -  253.59] в туристического мышления.
[ 253.59 -  258.84] Очень много всяких разных у него придумок,
[ 258.84 -  260.84] и вроде бы это простой интерьер,
[ 260.84 -  263.84] на самом деле, конечно, это не простой интерьер,
[ 263.84 -  265.84] коллекционер, коры французский был,
[ 265.84 -  267.84] богатейший человек,
[ 267.84 -  270.84] всякие эргономические придумки на кухне,
[ 270.84 -  272.84] напоминаю, до 20-е годы,
[ 272.84 -  275.84] с там сочетанием с рефлёным стеклом.
[ 275.84 -  278.84] Гигиена очень важна.
[ 278.84 -  281.84] Эргономика.
[ 281.84 -  284.84] Вот этот вот его знаменитый мебель,
[ 284.84 -  287.84] столик, его верия, образная ножка.
[ 287.84 -  291.84] И его технологическая придумка работы с табуреты,
[ 291.84 -  295.84] как в Икее, до сих пор судится Артек,
[ 295.84 -  298.84] который придумал Арлоралт, с Икей,
[ 298.84 -  300.84] до сих пор судится.
[ 300.84 -  302.84] Не важно.
[ 302.84 -  304.84] Вот эта вот верообразная ножка,
[ 304.84 -  306.84] это не просто для красоты,
[ 306.84 -  308.84] это абсолютно потрясающая идея.
[ 308.84 -  310.84] И ремесло, и творчество.
[ 310.84 -  313.84] Обязательно всегда заимствуют, всегда всё.
[ 313.84 -  315.84] Поэтому все эти суды это неизбежно.
[ 315.84 -  318.84] Ты в своих картинах у тебя уникальный стиль.
[ 318.84 -  320.84] Но если захотеть, можно понять...
[ 320.84 -  322.84] Мне можно подтянуть...
[ 322.84 -  323.84] Конечно.
[ 323.84 -  326.84] И Алвара Алта, он и архитектор,
[ 326.84 -  329.84] и человек, который невероятно чувствует материалы.
[ 329.84 -  332.84] Вот, да, вы узнаёшь, брат Вась?
[ 332.84 -  334.84] Я не узнаю, но мне очень нравится.
[ 334.84 -  336.84] Мне кажется, очень хорошо, собрано.
[ 336.84 -  338.84] Ну, в Икее-то ты видел вот так.
[ 338.84 -  340.84] А, ну да, да, конечно, конечно.
[ 340.84 -  342.84] В Икее, вот туда, вот туда.
[ 342.84 -  344.84] Потому что это финский стиль.
[ 344.84 -  346.84] Да, финский стиль.
[ 346.84 -  348.84] И очень много он сделал предмет на среды,
[ 348.84 -  350.84] очень много в мебеле.
[ 350.84 -  352.84] Мне просто очень нравится,
[ 352.84 -  354.84] из всего, что ты сегодня показывал мне,
[ 354.84 -  356.84] вот это, наверное, больше всего нравится.
[ 356.84 -  358.84] Да, Алта, мой любимый,
[ 358.84 -  360.84] это какой-то самый человечный,
[ 360.84 -  362.84] человечный мастер.
[ 362.84 -  364.84] Короче, вот из всего, что я сегодня видел,
[ 364.84 -  366.84] он очень человечный и беспафосный, что ли.
[ 366.84 -  368.84] Не смотря то, что это...
[ 368.84 -  370.84] Это дорого очень.
[ 370.84 -  372.84] Это не с лестницами, да.
[ 372.84 -  374.84] Вот это даже.
[ 374.84 -  376.84] Посмотри, вот это, какая чумовая
[ 376.84 -  378.84] деталь.
[ 378.84 -  380.84] Уголки, это всегда наш проблема.
[ 380.84 -  382.84] Я тебе говорю, здесь всё прекрасно.
[ 382.84 -  384.84] Да, да.
[ 384.84 -  386.84] Ну, это не то.
[ 386.84 -  388.84] Всё, я про правду, оказывается, интересно, очень темно.
[ 388.84 -  390.84] Это последний день, да.
[ 390.84 -  392.84] И дальше, дальше свободный день, да?
[ 392.84 -  394.84] Например, да.
[ 394.84 -  396.84] Или... Или... Или нет, нет, нет.
[ 396.84 -  398.84] Мы предложим, либо
[ 398.84 -  400.84] хотите приезжать раньше, вот вам есть маршрут
[ 400.84 -  402.84] на этот день, и потом мастер.
[ 402.84 -  404.84] Хотите оставайтесь позже, зависимо
[ 404.84 -  406.84] всего того, у кого какие билеты.
[ 406.84 -  408.84] Мы можем предложить это свободный,
[ 408.84 -  410.84] гибкий день, в который будет работать
[ 410.84 -  412.84] те места, которые мы
[ 412.84 -  414.84] посоветуем.
[ 414.84 -  416.84] Ещё, извини, пожалуйста, может мне, пожалуйста, всё-таки, это последний день?
[ 416.84 -  418.84] Что-то не...
[ 418.84 -  420.84] Не последний день, а свободный мы.
[ 420.84 -  422.84] Свободный день, который мы рекомендуем.
[ 422.84 -  424.84] 18, правильно?
[ 424.84 -  426.84] 18-я сделаем.
[ 426.84 -  428.84] Да, не будем путать перед, после.
[ 428.84 -  430.84] Смотри, какое чудо.
[ 430.84 -  433.84] Да, структуры этого свободного
[ 433.84 -  434.84] не объясним?
[ 434.84 -  436.84] Я пока ещё не знаю.
[ 436.84 -  438.84] Это какие-то наши рекомендации
[ 438.84 -  440.84] по тем точкам, которые могут...
[ 440.84 -  442.84] И там будет много рекомендов.
[ 442.84 -  444.84] Каждый может выбрать, как бы, да, то есть будет
[ 444.84 -  446.84] рекомендация много.
[ 446.84 -  448.84] Вы делаете какой-то финальный ужин, фидбек там?
[ 448.84 -  450.84] Да, вот как раз после аута, мы делаем фидбек,
[ 450.84 -  454.98] а потом свободный день. Вот как-то так.
[ 454.98 -  456.98] А тем сделать всё как случилось.
[ 458.98 -  460.98] О, ответила Наталья.
[ 460.98 -  466.66] Конечно.
[ 466.66 -  482.42] Нет, что-то не пишет, да.
[ 482.42 -  487.21] А вот это его библиотека в Убурге.
[ 487.21 -  489.21] Изумительное.
[ 489.21 -  491.21] Сейчас...
[ 491.21 -  493.21] Освящение.
[ 493.21 -  495.21] Освящение как он...
[ 495.21 -  497.21] Да, да, да, да, да.
[ 497.21 -  499.21] Смотри.
[ 499.21 -  503.19] Зал, да?
[ 503.19 -  505.19] Кто-то не любит, да, вот это для звука, да?
[ 505.19 -  507.19] Это и для звука,
[ 507.19 -  509.19] а вот эта метафора,
[ 509.19 -  511.19] или как-то говоришь,
[ 511.19 -  513.19] метафора. Нет, метафора нормально.
[ 513.19 -  515.19] С текстом проблем.
[ 515.19 -  517.19] Смотри, смотри.
[ 517.19 -  519.19] Вот это всё.
[ 519.19 -  521.19] И это очертание озёр,
[ 521.19 -  523.19] который очень много, около трёх тысяч,
[ 523.19 -  525.19] в Индии.
[ 525.19 -  527.19] Это его источник вдохновения.
[ 527.19 -  529.19] Подожди, так мы это видели и в Парижской,
[ 529.19 -  531.19] сейчас видели вот это то.
[ 531.19 -  533.19] Ну это он же.
[ 533.19 -  535.19] Я же тебе его показываю.
[ 535.19 -  537.19] Я понимаю, так я и говорю, что ты говоришь,
[ 537.19 -  539.19] что вдохновляет его, мол, вот филдские озёры.
[ 539.19 -  541.19] Это же не обязательно поизжитах,
[ 541.19 -  543.19] вдохновляет.
[ 543.19 -  545.19] Он находит точку опоров конструктиве
[ 545.19 -  547.19] через этот образ.
[ 547.19 -  549.19] Знаешь, какие ложки для мёда, знаешь,
[ 549.19 -  551.19] будет?
[ 551.19 -  553.19] Знаешь, какие они крутые, потому что здесь очень
[ 553.19 -  555.19] продуманное освещение России.
[ 555.19 -  557.19] Точно, это вот это ресурс оёмки
[ 557.19 -  559.19] дизайн.
[ 559.19 -  561.19] Смотри, он работал, ещё очень важно.
[ 561.19 -  563.19] Он работал вместе со своей женой,
[ 563.19 -  565.19] Айной,
[ 565.19 -  567.19] то есть у них вся семья была
[ 567.19 -  569.19] вот такая
[ 569.19 -  571.19] вот эта изумительная кресла.
[ 571.19 -  573.19] Здесь эргономика для санаториума,
[ 573.19 -  575.19] построила санаториум.
[ 575.19 -  577.19] Не работают стоповыми материалами.
[ 577.19 -  579.19] Они работают за стоповыми материалами.
[ 579.19 -  581.19] Это, да, короче, это всё,
[ 581.19 -  583.19] всё, что ты мне говоришь,
[ 583.19 -  585.19] сейчас вот про ардекод, да?
[ 585.19 -  587.19] Это дорого всё, короче.
[ 587.19 -  589.19] Вот посмотри, это, ну это дешевле,
[ 589.19 -  591.19] чем?
[ 591.19 -  593.19] Ну скажи, нет,
[ 593.19 -  595.19] давай так.
[ 595.19 -  597.19] Это
[ 597.19 -  599.19] по восприятию
[ 599.19 -  601.19] более мягко, например,
[ 601.19 -  603.19] чем у Дирана, да?
[ 603.19 -  605.19] Да, конечно.
[ 605.19 -  607.19] Это тот же дом,
[ 607.19 -  609.19] смотри, тот же дом Каре,
[ 609.19 -  611.19] одна из сон,
[ 611.19 -  613.19] вот, которая я тебе пока... Это не он.
[ 613.19 -  615.19] Это не он, здесь,
[ 615.19 -  617.19] вот он.
[ 617.19 -  619.19] Вот это и меня вообще с ума сводит.
[ 619.19 -  621.19] Отличный, отличный.
[ 621.19 -  623.19] Я хочу сказать, почему она мне с ума сводит.
[ 623.19 -  625.19] Ну, может, даже не рассказать,
[ 625.19 -  627.19] не рассказать. Да, сочетание с деревом,
[ 627.19 -  629.19] вот, когда он дерево вводит в модернизм
[ 629.19 -  631.19] о лекаробезии,
[ 631.19 -  633.19] нет дерева.
[ 633.19 -  635.19] Это его большая...
[ 635.19 -  637.19] Не, слушай, а мы...
[ 637.19 -  639.19] Помнишь, есть...
[ 639.19 -  641.19] Это в этом...
[ 641.19 -  643.19] В наркомфинии есть
[ 643.19 -  645.19] чутка дерева.
[ 645.19 -  647.19] Это не лекаробезии, это все-таки Гинсбург.
[ 647.19 -  649.19] В рамы деревянные, да?
[ 649.19 -  652.19] Да, да, да. Нет, у него тоже есть немного дерева.
[ 652.19 -  654.19] Но аллАр, алда.
[ 654.19 -  656.19] У него же местная, он же обожанчивый.
[ 656.19 -  658.19] А почему? А Белласт тоже дерево,
[ 658.19 -  660.19] дерево не любил, да? Не пользовался особо.
[ 660.19 -  662.19] Я не знаю, просто, да, нет.
[ 662.19 -  664.19] Но меньше...
[ 664.19 -  666.19] Финская архитектурная традиция,
[ 666.19 -  668.19] модернистическая,
[ 668.19 -  670.19] отец, который аллАр, аллАр.
[ 670.19 -  672.19] Это не дрене дерева, модернище.
[ 672.19 -  674.19] И я люблю ламперию.
[ 674.19 -  676.19] У нас тоже есть вот эта ламперия.
[ 676.19 -  678.19] Просто бабла, но...
[ 678.19 -  680.19] Да, да.
[ 680.19 -  682.19] Это и звук, это и тепло,
[ 682.19 -  684.19] и утепление, здесь все.
[ 684.19 -  686.19] Здесь у него очень умная...
[ 686.19 -  688.19] Человек уже... Это же, понимаешь,
[ 688.19 -  690.19] это же тоже жизнь
[ 690.19 -  692.19] была, как и человек.
[ 692.19 -  694.19] Конечно. Это, знаешь, далекий родственник дерева.
[ 694.19 -  696.19] Конечно.
[ 696.19 -  698.19] А вот, а, а вот, не знаю,
[ 698.19 -  700.19] вот это нет.
[ 700.19 -  702.19] И это ощущается.
[ 702.19 -  704.19] Да, огонь, видишь, дерево здесь.
[ 704.19 -  706.19] Дерево нужно. Цвета, которые...
[ 706.19 -  708.19] Вот скандинофинские, особенно цвета,
[ 708.19 -  710.19] они очень узнаваемые.
[ 710.19 -  712.19] Это тоже близкие
[ 712.19 -  714.19] озер и небо вот такого салона.
[ 714.19 -  716.19] Ну вот это же хорошо решило, ты мне показывала,
[ 716.19 -  718.19] который сначала ничего б декорировал,
[ 718.19 -  720.19] немножко заигрывал, а потом перестал.
[ 720.19 -  722.19] Вот это классно тоже. Если забыл, как его дают,
[ 722.19 -  724.19] то поняла, как его дают.
[ 724.19 -  726.19] У него довольно много дерева.
[ 726.19 -  728.19] Такого простого, геометричного.
[ 728.19 -  730.19] Дешевого.
[ 730.19 -  732.19] Американский товарищ...
[ 732.19 -  734.19] Сейчас.
[ 734.19 -  736.19] Довольно функциональный.
[ 736.19 -  738.19] Сначала, самое начало
[ 738.19 -  740.19] вообще профессиональность.
[ 740.19 -  742.19] Вот у него же дешевое дерево.
[ 742.19 -  744.19] Дешево сделанное.
[ 744.19 -  746.19] Но потом он все равно с дорогими стал работать.
[ 746.19 -  748.19] Но тем не менее, из дешевого,
[ 748.19 -  750.19] из доступной.
[ 750.19 -  752.19] Вот у него такой же принцип. То, что рядом
[ 752.19 -  754.19] из того дела. УАУТА тоже.
[ 754.19 -  756.19] Это не его интерьер,
[ 756.19 -  758.19] это его предметы.
[ 758.19 -  760.19] Но это финская, все равно.
[ 760.19 -  762.19] Нет, это его, его тоже все.
[ 762.19 -  764.19] Раз, потому что, понятно, там разные.
[ 764.19 -  766.19] Я попердно понял.
[ 766.19 -  768.19] Я абсолютно влюблена в ААУТА.
[ 768.19 -  770.19] Невероятно.
[ 770.19 -  772.19] Библиотека его.
[ 772.19 -  774.19] В его предметную среду.
[ 774.19 -  776.19] Просто...
[ 776.19 -  778.19] Я считаю, одним из самых
[ 778.19 -  780.19] человечных вот так бы
[ 780.19 -  782.19] генеев много разного уровня.
[ 782.19 -  784.19] И, может быть,
[ 784.19 -  786.19] с точки зрения
[ 786.19 -  788.19] инжиниринга, там
[ 788.19 -  790.19] больше кто-то
[ 790.19 -  792.19] пробрался наверх.
[ 792.19 -  794.19] Но с точки зрения человечности
[ 794.19 -  796.19] мне кажется, его никто не переплюнет.
[ 796.19 -  798.19] У меня больше нет вопросов
[ 798.19 -  800.19] про Париж в среду.
[ 800.19 -  802.19] Сегодня 13-15-е.
[ 802.19 -  804.19] В среду я с тобой смогу предметом
[ 804.19 -  806.19] тебя...
[ 806.19 -  808.19] В среду только вечером.
[ 808.19 -  810.19] А завтра?
[ 810.19 -  812.19] А завтра? Я вот жду...
[ 812.19 -  814.19] Мне оказалось, что Виктория мне должна написать.
[ 814.19 -  816.19] По моим представлениям
[ 816.19 -  818.19] мы должны завтра с ней
[ 818.19 -  820.19] уже увидиться.
[ 820.19 -  822.19] Вечером твое время для работы.
[ 822.19 -  824.19] А четверг ты дома?
[ 824.19 -  826.19] Если она мне не напишет,
[ 826.19 -  828.19] потому что не тоже может быть, она приедет с отпуска,
[ 828.19 -  830.19] сейчас она даже сгребает свои дела, потом
[ 830.19 -  832.19] что-то, то я завтра буду дома.
[ 832.19 -  834.19] Везде.
[ 834.19 -  836.19] Я завтра могу унес пить,
[ 836.19 -  838.19] у меня большой объем. А с среди
[ 838.19 -  840.19] мне было кажется, потеряне.
[ 840.19 -  852.91] А четверг я буду дома.
[ 852.91 -  854.91] Вот у меня на краске два дня полосы.
[ 854.91 -  856.91] Сегодня заложила.
[ 856.91 -  858.91] По нашим договоренностям.
[ 858.91 -  860.91] Пока она никак не объявляется,
[ 860.91 -  862.91] я не буду ее дергать.
[ 862.91 -  864.91] А так,
[ 864.91 -  866.91] это до вечера.
[ 866.91 -  868.91] А здесь вот до...
[ 868.91 -  870.91] Где-то часа в 4.
[ 870.91 -  872.91] А здесь ты можешь со мной
[ 872.91 -  874.91] утром встретиться?
[ 874.91 -  876.91] Нет, я утром собираюсь.
[ 876.91 -  878.91] Мне надо собрать, слушай.
[ 878.91 -  880.91] Мне же не просто так, надо
[ 880.91 -  882.91] причасаться. Это, это.
[ 882.91 -  884.91] Это такие ресурсы, нарядиться, на крае.
[ 884.91 -  886.91] Все, все, все. Ну вот это.
[ 886.91 -  888.91] Пятница, я к вам приеду.
[ 888.91 -  890.91] Утром пятница.
[ 890.91 -  892.91] Нет, ты к нам приедешь потом,
[ 892.91 -  894.91] мне стоит пробыться на душе.
[ 894.91 -  896.91] Но приезжай утром пятницу,
[ 896.91 -  898.91] да, и поедем к детям.
[ 898.91 -  900.91] Париж здесь будет.
[ 900.91 -  902.91] Я вот здесь, я просто хочу очень детей увидеть.
[ 902.91 -  904.91] Ну ты увидишь их, но нам нужно куда-то
[ 904.91 -  906.91] в Париж поставить.
[ 906.91 -  911.86] Ну давай вот, пятница.
[ 911.86 -  913.86] Хорошо, давай.
[ 913.86 -  915.86] Ну так, тоже надо важным полаком,
[ 915.86 -  917.86] там без меня, пробыть здесь.
[ 917.86 -  919.86] И там, не знаю, там часов в одиннадцать,
[ 919.86 -  921.86] там, не знаю, все встретиться.
[ 921.86 -  923.86] Понимаешь, да. Где-нибудь до часа
[ 923.86 -  925.86] мы с тобой отработаем.
[ 925.86 -  927.86] Примерно.
[ 927.86 -  929.86] Я думал, час небольшим, может, закончим.
[ 929.86 -  931.86] Я бы ходил чуть пораньше,
[ 931.86 -  933.86] потому что у вас же сейчас начинается этот
[ 933.86 -  935.86] рано. Да, но Ольга Григорьевна,
[ 935.86 -  937.86] это все-таки ну объем, но
[ 937.86 -  939.86] она нужен будет.
[ 939.86 -  941.86] Сколько, когда этот,
[ 941.86 -  943.86] когда сейчас шабат, когда?
[ 943.86 -  945.86] Да я сейчас узнаю, что.
[ 945.86 -  951.57] Я узнаю.
[ 951.57 -  953.57] Я кладу к тому, чтобы
[ 953.57 -  955.57] тебя в час освободить.
[ 955.57 -  957.57] Ну это значит, давай, я, допустим,
[ 957.57 -  959.57] у детей, да?
[ 959.57 -  961.57] Девяносто.
[ 961.57 -  963.57] Ничего, сколько не умеет, я не знал.
[ 963.57 -  965.57] Он что, умеет писать? Не, он же не пишет тебе время.
[ 965.57 -  970.03] А, пишет?
[ 970.03 -  972.03] Семнадцать, девятнадцать?
[ 972.03 -  974.03] Окей. Не, семнадцать, девяносто
[ 974.03 -  976.03] правда подобное.
[ 976.03 -  978.03] Нет, он пишет, я все время здесь.
[ 978.03 -  980.03] Да, я все время все-таки вписываю, все-таки без базара.
